회사명,제목,링크,지역,경력,학력,고용형태,마감일,직무분야,연봉정보
(주)파이오링크,"[코스닥 상장사] Linux,Python,Java,Api 개발자 모집(신입/경력)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49458119&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5fe4cf7f-3ec5-405a-a35e-33b9f266cfa9,서울 금천구,신입·경력,초대졸↑,정규직,~ 12/31(화),"Python, C++, Java, Linux, 솔루션 외                    수정일 24/11/25",IT개발·데이터 지원 TOP100
마인드원(주),소프트웨어 개발 (Java&Python) 신입 및 경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49167327&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5fe4cf7f-3ec5-405a-a35e-33b9f266cfa9,서울 강남구,신입,대졸↑,정규직,~ 12/09(월),"Python, Java, 솔루션, 웹개발, 알고리즘 외                    수정일 24/11/25","평균연봉 6,000 이상"
(주)마크클라우드,"AI 개발(Python), 데이터분석 및 사업 기획 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49441156&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5fe4cf7f-3ec5-405a-a35e-33b9f266cfa9,서울 강남구,신입·경력,대졸↑,정규직,~ 12/20(금),"Python, 딥러닝, 머신러닝, 데이터분석가, 빅데이터 외                    등록일 24/11/20",인기있는
플러거,마켓빌리 JAVA / DBA / TA / AA / PYTHON Recruitment,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49463011&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5fe4cf7f-3ec5-405a-a35e-33b9f266cfa9,서울 강남구,경력무관,학력무관,정규직·계약직,~ 12/25(수),"Python, Java, AWS, DBA, SI개발 외                    등록일 24/11/25",인기있는
주식회사만들다컴퍼니,"지속 성장가능한 개발 인력 모집-Flutter,Python,JAVA,재택가능",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49472340&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5fe4cf7f-3ec5-405a-a35e-33b9f266cfa9,경기 안양시 동안구,경력무관,대졸↑,정규직,채용시,"Python, Java, 웹개발, 백엔드/서버개발, 앱개발 외                    수정일 24/11/26",인기있는
(주)데이터다이나믹스,정규 Python/Data Engineer (신입/경력) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49461161&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5fe4cf7f-3ec5-405a-a35e-33b9f266cfa9,경기 용인시 수지구,신입·경력,학력무관,정규직,~ 12/25(수),"Python, Linux, AWS, 빅데이터, 클라우드 외                    등록일 24/11/25",급성장중
행복쇼핑(주),[재택근무] REACT · PHP · PYTHON 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49476675&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5fe4cf7f-3ec5-405a-a35e-33b9f266cfa9,서울 양천구,경력3년↑,초대졸↑,정규직,~ 01/25(토),"Python, 딥러닝, 솔루션, 머신러닝, AWS 외                    등록일 24/11/26",재택근무
(주)케이엘피,파이썬(Python) 백엔드 개발자 모십니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49468282&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5fe4cf7f-3ec5-405a-a35e-33b9f266cfa9,서울 강남구,경력무관,고졸↑,정규직·계약직,오늘마감,"Python, AWS, 백엔드/서버개발, 앱개발, 프론트엔드 외                    등록일 24/11/25",IT개발·데이터 지원 급상승
(주)케이엘피,파이썬(Python) 기반의 풀스택 개발자 모십니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49468277&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5fe4cf7f-3ec5-405a-a35e-33b9f266cfa9,서울 강남구,경력무관,고졸↑,정규직·계약직,오늘마감,"Python, AWS, 백엔드/서버개발, 유지보수, 프론트엔드 외                    등록일 24/11/25",IT개발·데이터 지원 급상승
NIMBYX CAPITAL INC.,"Full Stack Engineer (Python, C# Developer) 풀스택 개발자",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49448256&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5fe4cf7f-3ec5-405a-a35e-33b9f266cfa9,서울 강남구,신입·경력,대졸↑,정규직,~ 01/20(월),"Python, C++, ASP, ASP.NET, Azure 외                    등록일 24/11/21",재택근무
(주)파이오링크,"[코스닥상장사] L4-L7 스위치 개발 Linux,Python,C(신입/경력)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49403967&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5fe4cf7f-3ec5-405a-a35e-33b9f266cfa9,서울 금천구,신입·경력,학력무관,정규직,~ 12/14(토),"Python, C++, Linux, 솔루션, C언어 외                    수정일 24/11/21",연봉상승률 10% 이상
